alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity
1.5172,-9.7314,-0.86723,-1.1744,-1.1689,-0.23772,-5.3266,0.8427100000000001,7.2713,-0.94118,0.28131,0.32328,0
-5.9815,-19.205,9.1778,-0.5899800000000001,-0.63977,-0.66994,-11.575,-9.1579,1.2088,-0.29216,-0.71458,-0.76078,0
3.9691,-13.919,-5.7813,0.14842,-0.92308,-0.037328,-7.0404,-3.5248,4.5217,-0.93725,0.18686,0.33836,0
0.10047,-9.7192,1.3484,-0.57143,-0.71295,0.35953,-7.0811,-2.8136,5.6406,-0.71373,0.57084,0.37069,0
1.3415,-12.352,1.3854,0.38776,-0.76923,0.37132,-2.7717,-10.640999999999998,4.9367,-0.039216,-0.7700199999999999,0.81897,0
1.4666,-3.8775,-18.44,0.50464,-0.8029999999999999,-0.28094,-2.1553,-10.517,-0.65083,0.56275,-1.0082,-0.0625,0
2.4931,-9.6651,-1.1667,-0.15584,-0.90244,0.40668,-4.6739,-8.3542,-3.4177,-0.3098,-0.3922,-0.94181,0
2.2267,-9.416,-0.011031,-0.73655,-0.8536600000000001,0.047151,-6.9197,-7.1197,1.0294,-1.0824,-0.58727,-0.42241,0
2.85,-15.325,-4.8107,-0.3692,-0.97186,-0.19057,-8.5095,-1.0732,-1.3245,-0.92549,0.20329,-0.42888,0
0.90381,-9.6923,0.0765059999999999,-0.055659,-0.79737,-0.73674,-5.609,-5.7379,5.2131,-0.7902,-0.71253,-0.038793,0
1.9447,-11.601,4.2936,0.30056,-0.33021,-0.6188600000000001,-0.14718,-13.505999999999998,3.408,0.77059,-0.59138,0.33836,0
1.192,-9.6098,0.40643,0.57885,-0.6454,-0.43026,-9.0029,0.004273,-2.5727,-0.88431,-0.58522,0.20474,0
3.739,-19.274,-5.5825,-0.47681,-0.76735,-0.52849,2.4626,-15.582,-1.227,-0.56471,-0.8809,-0.26078,0
1.1242,-9.5858,1.8132,0.70315,-0.34146,0.50884,-9.1594,2.8802,1.019,-0.48039,-0.16427,0.91379,0
3.239,-9.9936,0.6368699999999999,0.29685,-0.59287,0.63851,-4.7477,-4.7084,5.1604,-0.8,0.15606,0.68534,0
5.9004,-7.7074,-4.3993,-0.80891,-0.72233,-0.23969,-2.6564,-9.4198,3.0186,-0.15294,-1.0965,-0.29095,0
0.98513,-10.274,-3.5976,-0.5436,-0.58912,-0.7622800000000001,-2.028,-8.8711,-0.11022,0.013725,-0.90144,-0.6056,0
-2.2561,-10.67,-2.6081,0.26531,-0.5272,0.7328100000000001,-5.1546,11.623,-5.7209,-0.44902,0.70021,0.74569,0
0.67928,-9.3648,-7.7635,0.36364,-0.83865,-0.18664,-5.5308,-10.581,12.888,0.56275,-0.68994,0.8125,0
5.436,-15.481,-3.5113,0.5584399999999999,-0.61163,0.4224,-21.25,-10.352,-1.2051,-0.40588,-0.067762,1.0733,0
-0.91046,-9.3814,-3.4886,0.37106,0.1688599999999999,-1.7859,-4.8852,-6.7458,1.4231,0.90196,-0.3963,-0.22414,0
2.3522,-9.6129,0.09496,-0.4397,-0.89869,-0.27308,-2.0937,-9.321,-1.1015,-0.058824,-0.8234100000000001,-0.6724100000000001,0
-3.213,-8.8165,1.5166,-0.39703,-0.8029999999999999,-0.63458,-9.0652,-9.0083,9.1746,-1.0255,-0.52977,-0.086207,0
-0.71339,-5.8703,-7.8215,-0.042672,-0.90994,-0.25933,-4.0581,-6.881,5.8955,0.16667,-0.45996,1.0603,0
1.6261,-9.6848,-1.1555,0.2189199999999999,-0.42026,0.058939,-4.2388,-8.232999999999999,2.7029,-0.086275,-0.51951,-0.15517,0
2.6071,-9.4128,1.295,-0.92022,-1.5047,0.46365,-2.5978,-9.1336,1.6371,-0.73529,-1.8809,-0.46983,0
0.25123,-9.7715,1.0659999999999998,-0.48794,-0.74484,-0.43418,-0.8762,-9.4066,1.3422,-0.090196,-0.94661,-0.52586,0
1.81,-9.594,0.99673,0.42115,-0.7636,-0.57171,-2.2655,-8.8952,2.4823,0.42353,-1.0534,-0.012931,0
7.779,-9.4171,-8.0493,0.58813,-0.79362,0.0039293,-3.1898,-1.7575,8.2455,0.2862699999999999,-0.2731,1.0754,0
2.3013,-7.8657,-8.3494,0.64564,-0.79737,-0.035363,-1.9486,-6.2928,7.7166,0.57255,-0.36961,0.98491,0
1.9921,-9.4661,-1.068,0.68089,-0.6866800000000001,0.3556,-7.6338,-7.2247,-1.4654,-1.0314,0.024641,0.2931,0
0.034397,-9.9444,-0.38229,-0.70501,-0.6622899999999999,0.1159099999999999,-9.4117,-1.6705,0.94772,-0.8411799999999999,0.34702,-0.34267,0
3.4258,-3.4113,2.4366,-0.41002,0.04878,-1.0334,-13.965,2.6197,-2.0253,-0.8235299999999999,-0.32238,-0.53664,0
1.6348,-9.6758,0.7408899999999999,-0.39332,-0.77674,0.35953,-5.7511,-2.5644,10.559,-0.37451,0.80287,0.70043,0
1.2379,-9.7444,1.796,-0.2337699999999999,-0.87805,-0.51081,-2.8692,-9.2827,1.7338,-0.021569,-0.99795,-0.42672,0
1.9329,-19.303,-4.5812,0.10575,-0.55535,-1.0,-2.4505,-8.8703,-1.0268,0.62549,-0.98768,0.12284,0
2.4871,-9.6209,-0.70618,-0.39889,-0.78799,-0.4597199999999999,-4.827,-3.6023,7.7678,-0.80196,-0.54004,0.16164,0
0.8720600000000001,-9.5828,2.1129,0.2319099999999999,-0.35084,-0.33595,-8.9285,1.7703,-3.974,-0.41765,-0.073922,-0.1875,0
-0.49759,-9.9261,-1.5221,-0.14842,-0.17636,0.75835,-1.8045,-9.7161,-0.6108100000000001,-0.7058800000000001,-0.26899,-0.40517,0
1.0546,-9.8449,-1.3255,0.059369,-0.76923,0.56385,-2.7373,-9.5856,-1.5626,-0.77451,-0.68583,-0.25431,0
19.586,-19.338,-18.938,0.46197,-0.72795,0.30059,-18.084,-18.703,0.68984,-0.49608,-0.16016,1.0259,0
2.49,-9.488,-0.28283,0.74397,-0.5816100000000001,0.1080599999999999,3.4976,9.0706,2.0577,0.82157,0.48665,0.56466,0
-0.7691100000000001,-9.8118,0.012138,-0.41744,-0.50844,-0.59528,-3.4032,-9.6136,0.64432,0.26863,-1.152,-0.48491,0
9.547,-19.241,-2.2937,0.30983,-0.72983,-0.7701399999999999,-3.7197,-16.761,-0.088044,-0.47843,-0.75975,0.65517,0
0.32659,-9.8779,0.33229,0.70872,-0.32833,0.5697399999999999,-4.4558,-8.5197,-2.9677,-0.97647,-0.26899,0.53664,0
-1.1357,-9.8607,1.0581,-0.51763,-0.64165,0.5756399999999999,-4.1245,-6.942,-2.2013,-0.84314,-0.48665,-0.3577599999999999,0
1.3102,-9.6644,-1.0951,-0.33766,-0.9531,-0.50295,-0.26165,-6.541,7.9021,-0.38824,-1.1191,0.53017,0
-0.65676,-9.481,2.3944,-0.4731,-0.5647300000000001,0.6483300000000001,-0.80715,-9.5956,1.4369,-0.7098,-0.78645,0.27802,0
0.3284,-9.9263,-0.55553,-0.44527,-0.74859,-0.63654,-3.9992,-5.8043,1.5744,0.029412,-0.99384,-0.5,0
5.2674,-10.137,-2.7875,-0.63451,-0.7016899999999999,-0.29666,-1.5827,-9.4908,0.92129,-0.029412,-1.0472,-0.3125,0
1.5869,-10.184,-2.5141,0.71985,-0.5985,-0.43811,-0.42746,-5.7915,-1.1542,-0.6902,-0.6098600000000001,0.6702600000000001,0
1.1746,-9.8068,0.5109899999999999,-0.61039,-0.8292700000000001,-0.27898,-2.127,-8.7385,2.1464,-0.32353,-0.95688,-0.43103,0
1.3565,-6.4191,0.6613600000000001,0.56772,-0.56848,-0.6994100000000001,-8.2297,4.269,-3.099,-0.7196100000000001,0.28542,0.79957,0
19.562,-4.8705,-7.8396,-0.36364,-0.96248,-0.16896,-0.8259700000000001,-10.051,-1.1171,-0.8156899999999999,-0.71458,-0.11207,0
2.1639,-9.7673,0.50203,-0.19852,-0.94559,-0.5167,-2.7989,-9.4123,1.769,0.11961,-1.0965,-0.34698,0
0.089456,-9.59,1.3964,-0.12987,-0.7242,-0.80157,-3.7889,-6.3226,5.736000000000001,-0.7431399999999999,-0.78645,0.0086207,0
-1.4125,-9.6729,-1.9457,0.41002,-0.99812,0.031434,-2.0664,-9.2005,2.9462,-0.19804,-0.59548,0.93966,0
1.0512,-9.7675,1.4701,-0.050093,-0.93058,-0.67191,-2.6135,-9.1217,0.82516,0.28235,-1.0801,-0.27586,0
1.3056,-9.8084,0.34555,-0.061224,-0.7561,0.59332,-7.2191,4.2655,4.5466,-0.16471,0.5071899999999999,1.0086,0
2.0865,-5.0637,1.5489,-0.8330200000000001,-0.5985,-0.3831,-2.9262,-7.7787,-2.8681,-0.8392200000000001,-0.58316,-0.32759,0
1.1071,-10.773,-1.0797,-0.0018553,-0.7467199999999999,0.60511,-1.2733,-12.298,-0.79198,-1.0157,-0.13963,0.44828,0
1.461,-10.456,-0.070698,-0.60853,-0.80675,-0.38703,-9.129,-2.8043,-3.4319,-0.4451,-0.59754,-0.7694,0
1.1225,-10.198,-1.0091,0.24675,-0.6641699999999999,-0.8349700000000001,2.8717,-6.8577,5.23,0.39804,-1.1745,0.18534,0
2.1677,-10.433,0.21875,0.5547300000000001,-0.6191399999999999,-0.58743,-10.34,2.7609,3.0860000000000003,-0.95098,-0.42916,0.12716,0
1.5755,-10.204,0.4118199999999999,-0.15955,-0.63602,-0.4891899999999999,-7.9546,-6.9653,6.4747,-0.6333300000000001,-0.67762,-0.021552,0
2.1761,-9.7874,-6.4676,-0.4081599999999999,-0.19887,-0.94106,2.7542,-1.0446,6.5415,-0.37843,-0.94045,0.55603,0
-4.3392,4.7516,-16.92,0.7291300000000001,-0.54409,-0.50688,3.5438,0.64657,-1.3427,-0.7156899999999999,-0.21355,0.8620700000000001,0
2.3713,-9.5845,-1.0284,0.71429,-0.47092,0.031434,-2.9517,-9.0094,4.0599,-0.13922,-0.51745,0.95474,0
0.45385,-9.593,1.0978,0.64564,-0.68105,0.2023599999999999,-3.4478,-8.911,1.8982,0.041176,-0.78645,0.90302,0
0.79472,-2.8906,0.050918,-0.48052,-0.93433,0.053045,0.80404,-9.4,-1.0013,-0.4882399999999999,-0.8234100000000001,-0.31034,0
2.0847,-9.5848,0.92702,-0.57514,-0.94184,0.19057,-4.3311,-8.2754,-0.53877,-0.76667,-0.51951,-0.50216,0
1.7646,-9.9183,1.2405,0.6252300000000001,-0.6247699999999999,0.35363,-7.3922,-6.4644,0.5622,-0.77647,-0.38604,0.7327600000000001,0
1.9934,-9.4946,0.045204,0.15213,-0.84991,-0.69548,-8.8602,3.5516,3.1567,-1.0529,-0.15195,0.3319,0
1.8435,-9.6613,0.20203,-0.41373,-0.8743,0.2613,-3.4853,-8.8055,1.4451,-0.7941199999999999,-0.66735,-0.20474,0
1.3503,-9.9146,0.6219399999999999,-0.38219,-0.81989,-0.58939,-2.8739,-2.5436,0.64366,-0.38824,-0.97741,-0.44397,0
2.2458,0.76223,4.9356,-1.2356,1.2045,-0.85462,-5.4567,-1.2104,2.9603,-1.0490000000000002,-0.4271,0.036638,0
0.89456,-11.482,-1.6172,-0.70686,-0.76923,0.08055,-8.9944,-1.952,-5.2018,-0.29804,0.5112899999999999,-0.8685299999999999,0
1.7926,-9.5312,0.34345,-0.42301,-0.8292700000000001,-0.29666,-6.2149,1.1843,7.4342,-0.93333,0.41889,0.4331899999999999,0
1.7106,-9.8219,-1.0052,-0.84416,-0.29268,0.3300599999999999,-2.9329,-9.2881,0.19185,-0.41176,-0.34292,-0.68103,0
4.0056,-19.169,6.9045,-0.18738,-0.2983099999999999,-1.0413,-9.2214,4.9573,-2.273,-1.0431,-0.29363,0.23922,0
0.5958100000000001,-9.9136,1.7082,0.67904,-0.75235,0.013752,-0.15332,-6.3145,7.5489,0.52353,-0.55647,1.0754,0
1.7102,-8.3334,-3.6392,0.30798,-2.6642,-0.92534,-3.1388,-5.2662,1.3825,-1.2255,-1.3203,-0.073276,0
3.0932,-9.5068,-0.18399,0.80705,-0.37523,-0.79961,-1.7385,-6.9274,6.2578,0.39608,-1.1294,0.2112099999999999,0
0.7058399999999999,-9.8661,0.51375,-0.78293,-0.75047,0.2239699999999999,-5.2437,-12.288,2.2189,-0.6862699999999999,-0.7802899999999999,-0.090517,0
-0.35974,-12.97,0.035405,0.1948099999999999,-0.5647300000000001,-0.86444,-2.8152,-6.3405,0.95381,0.3039199999999999,-1.0862,-0.086207,0
1.4814,-17.233,6.4136,0.70872,-0.66604,-0.28291,-7.2403,-11.874,3.6355,0.054902,-0.7843899999999999,0.84698,0
3.0691,-14.493,-12.684,0.5565899999999999,-0.49906,-0.8565799999999999,-3.7061,-5.0378,8.2169,0.31373,-0.94456,-0.010776,0
6.9299,-13.425999999999998,-0.029086,0.6252300000000001,-0.58724,0.40079,0.0521789999999999,-4.1569,8.312999999999999,0.60588,-0.34292,0.96336,0
-0.0271959999999999,-12.964,-0.37765,-0.35436,-0.75985,-0.72102,-4.8028,-10.494000000000002,4.5899,-0.16471,-0.8829600000000001,-0.62931,0
-0.6625,-9.8975,-0.6369100000000001,-0.5918399999999999,-0.7035600000000001,-0.53242,0.32151,-12.034,-0.3725199999999999,-0.5098,-0.90349,-0.24353,0
0.2954199999999999,-9.8087,-0.67498,-0.4192899999999999,-0.74859,-0.5756399999999999,-7.0514,6.8044,-0.55561,-0.65686,0.44559,-0.65733,0
2.5471,-11.942,-0.092439,0.37477,-0.7167,0.4891899999999999,-16.187,-9.7385,9.1485,-0.52549,0.0,1.0603,0
1.5459,-7.8847,-4.3163,-0.44341,-0.78799,-0.57171,2.9062,-7.032,5.8047,-0.039216,-0.87269,1.0603,0
0.3345599999999999,-9.7467,11.464,-0.74212,-0.69231,0.25737,-2.4682,-10.047,1.2893,-0.76667,-0.58727,0.44181,0
0.5888100000000001,-9.901,0.00042214,0.09833,-0.7561,-0.71709,-2.6486,-9.336,1.3978,0.39804,-1.0657,-0.0043103,0
2.3331,-5.6127,-0.8718899999999999,0.11874,0.075047,-1.0629,-9.6814,2.6782,0.8214100000000001,-0.81176,-0.50308,0.41595,0
11.184,-9.598,-1.3889,0.49536,-0.74859,-0.51473,-10.322,-1.6869999999999998,-4.6989,-0.95882,0.17864,0.4741399999999999,0
-1.4354,-10.915,-1.3934,0.28015,-0.73546,0.49509,1.545,-5.7591,5.087,0.77255,-0.35729,0.85129,0
1.6839,-8.8706,-8.8434,0.63265,-0.68105,0.1630599999999999,-6.3832,-18.69,-3.997,-0.7078399999999999,-0.3039,0.7780199999999999,0
0.8811899999999999,-17.484,-4.8758,-0.48423,-0.59099,-0.4891899999999999,2.0976,-5.6637,6.6335,-0.076471,-0.97947,0.50647,0
1.5542,-9.7159,-3.2723,0.025974,-0.93246,0.25933,-2.7407,-8.3353,5.4687,-0.1902,-0.57495,1.0237,0
-0.055728,-8.4941,-3.8628,0.13358,-0.7167,0.64244,-5.3975,5.6005,5.0509,0.16667,0.6139600000000001,0.92241,0
0.8597299999999999,-16.246,-5.7829,-0.3692,-0.57786,-0.8447899999999999,-2.3597,-8.1264,0.3645199999999999,0.45882,-0.97536,-0.33836,0
8.0919,-12.168,-0.93372,0.52876,-0.61163,-0.69352,-8.1014,-18.714,-5.3836,-0.5,-0.73922,0.6681,0
1.2287,-8.6245,-1.0648,-0.74583,-0.33583,-0.77996,-0.85556,1.869,5.8955,-0.6117600000000001,0.7084199999999999,-0.46336,0
-0.6739,-9.2795,-3.1999,-0.40445,-0.79925,0.19646,-4.3163,1.9057,8.5745,-0.18824,0.8234100000000001,0.75431,0
-13.491,-2.4801,2.4807,0.59555,-0.79174,-0.14931,-7.0914,-8.1357,7.4265,-0.16078,-1.1191,0.017241,0
4.1610000000000005,-10.53,1.4839,0.31911,-0.86679,0.58743,-3.9736,-2.6466,8.3364,-0.45686,0.084189,1.2414,0
0.39091,-9.3056,-1.8468,-0.72356,-0.77298,0.02554,-2.1273,-9.6388,0.1222299999999999,0.37059,-0.96304,-0.5150899999999999,0
0.63288,-9.4986,-2.3332,-0.58813,-0.70732,-0.43222,-2.6736,-9.4174,1.2583,0.3215699999999999,-0.99589,-0.2112099999999999,0
2.1635,-10.457,0.79043,0.3525,-0.75985,0.4145399999999999,-2.1797,-7.7443,3.5711,-0.29412,-0.71663,0.85345,0
1.7428,-5.7833,-8.0322,0.22263,-0.8836799999999999,-0.28094,-1.5633,-1.072,5.8006,0.7843100000000001,-0.54209,0.71121,0
-0.0309,-9.4279,1.7679,0.50649,-0.71482,0.33399,-1.8237,-9.8161,1.3946,-0.18039,-0.76386,0.80603,0
1.5956,-9.6044,-0.047599,-0.78479,-0.88555,-0.021611,-9.1108,-2.4283,-3.8297,-0.62157,-0.75975,-0.45474,0
-0.38623,-9.8864,0.47057,-0.67532,-0.69606,0.2711199999999999,-8.5429,5.197,-0.30265,-0.46667,0.92813,-0.2952599999999999,0
2.1141,-9.7064,-0.33918,0.6883100000000001,-0.64165,0.094303,-1.7373,-10.423,-3.2816,-0.59216,-0.64887,0.70043,0
-0.40805,-5.4013,-8.4512,-0.41558,-0.90056,-0.43222,-2.456,-9.2306,-0.0552779999999999,-0.7941199999999999,-0.64271,0.42241,0
1.6066,-8.6245,-2.0506,-0.51577,-0.7636,0.40275,-9.0251,1.7492,2.9208,-0.7451,0.77823,0.25,0
0.90702,-9.6788,1.4314,0.71614,-0.8029999999999999,-0.070727,-1.109,-9.4322,1.7784,0.51373,-0.85216,0.4461199999999999,0
-0.097523,-9.8037,-0.16824,-0.72356,-0.76173,-0.17092,-9.8345,-0.2643,-0.42988,-0.76275,0.36961,-0.58405,0
0.37067,-8.5469,-6.1736,-0.4990699999999999,-0.075047,-0.75246,-1.4995,0.61114,7.1139,-0.42157,-1.2012,0.4569,0
3.3653,-10.58,-1.5995,0.76994,-0.4409,-0.83104,-3.3921,-6.7169,-1.69,0.12941,-0.99384,0.24353,0
4.9404,1.2639,8.5709,0.4192899999999999,0.99625,0.46169,-7.2216,-0.35163,6.8366,-0.41373,0.57084,0.8642200000000001,0
3.5951,-9.0252,-0.5403100000000001,-0.4026,-0.8086300000000001,0.18664,-1.9459,1.5767,3.6726,-1.0412,-0.039014,-0.11422,0
3.8237,-7.4327,-4.6563,0.23006,-0.48218,-0.9725,0.2568,-7.3577,-0.7741399999999999,0.19804,-0.8398399999999999,0.87716,0
12.864,-19.191,-4.2163,0.2040799999999999,-0.13133,0.8703299999999999,-2.8721,-1.5574,5.2555,-0.45098,0.15606,1.1013,0
0.8961600000000001,-9.9498,0.073974,-0.30241,-0.77674,0.5442,-3.0194,-8.7211,1.8869,-0.94314,-0.5092399999999999,0.15733,0
-9.496,-4.9952,-0.51139,-0.4471199999999999,-0.94559,0.066798,4.3279,-13.597,1.2681,-0.48039,-0.80287,-0.40517,0
-5.9574,-19.038,22.978,-0.49165,-0.8949299999999999,-0.19646,-1.2798,-11.754,1.579,-0.46863,-0.7802899999999999,-0.56897,0
1.6613,-11.0,-2.0126,-0.3154,-0.69231,-0.78585,-4.6435,-6.7364,1.3611,0.13333,-1.1006,-0.2069,0
2.3482,-9.9367,0.39123,0.6846,-0.55347,-0.48723,-9.0711,4.0901,4.0066,-0.39216,-1.7721,0.2306,0
1.3935,-9.4221,1.3553,-0.4471199999999999,-0.8761700000000001,-0.389,-0.33421,-9.6066,2.3426,-0.072549,-0.98973,-0.47198,0
0.8516799999999999,-9.7731,0.90528,-0.56957,-0.77861,0.33988,-3.0479,-9.8313,0.87302,-0.81176,-0.68172,-0.17457,0
4.5765,-10.173,-1.5046,0.63822,-0.5966199999999999,0.18861,-8.1204,-5.2058,3.4168,-0.12745,-0.77207,0.84267,0
-6.1577,-7.9285,-18.593,-0.2356199999999999,-0.94184,-0.3104099999999999,-1.0047,-10.62,-0.96848,-0.2666699999999999,-0.99179,-0.25,0
0.86815,-9.9174,-0.65386,-0.30983,-0.8367700000000001,-0.611,-3.7345,-14.095,4.513999999999999,-0.033333,-1.1376,-0.18319,0
0.071493,-9.8476,1.3833,0.16698,-0.8724200000000001,-0.60511,-3.3947,-8.5566,2.343,0.29216,-1.1068,-0.099138,0
4.0187,-9.3196,0.70962,0.83488,-0.45779,-0.043222,-2.5632,-8.6335,2.6517,0.23529,-0.8254600000000001,0.74138,0
-0.32981,-9.5021,-2.6867,-0.029685,-0.90056,0.37721,-4.8046,-10.254,-3.4294,-0.48235,0.7823399999999999,-0.47629,0
1.02,-9.868,1.3189,0.30056,-0.64353,0.60314,-1.6003,-9.3255,2.4504,-0.068627,-0.65298,0.95905,0
0.01718,-9.7209,1.1808,0.20965,-0.85741,-0.55796,-2.1899,-9.412,2.8002,0.55686,-1.0205,0.1918099999999999,0
1.8697,-9.3361,-0.93769,-0.2337699999999999,-0.71107,-0.8290799999999999,-4.3489,-8.0568,3.3159,-0.027451,-1.0554,-0.37069,0
6.3936,0.57775,7.2803,0.5547300000000001,0.42589,0.13949,-4.2489,5.5578,8.7779,0.52353,0.2833699999999999,0.8620700000000001,0
4.8069,1.1531,8.3766,0.42115,1.0188,0.45383,-6.8323,0.17019,7.0189,-0.34902,0.59138,0.84914,0
1.3377,-9.7372,-0.45265,-0.28386,-0.76173,0.611,-2.7253,-8.5032,3.679,-0.88235,-0.84805,0.28233,0
0.11173,-6.3812,-6.4325,0.5120600000000001,-0.17824,-0.86051,-0.86784,-6.7914,7.8583,0.5098,-1.1766,0.27155,0
0.75376,-9.8793,0.19066,0.5918399999999999,-0.66604,-0.44204,-3.6677,-9.0273,0.26738,0.32941,-1.0719,0.2306,0
0.18084,-11.351,-0.40947,0.47495,-0.53471,-0.71316,-7.3764,2.6765,2.6547,-0.83529,-0.35318,0.15517,0
-1.2971,-6.6619,-6.7836,-0.52876,-0.7467199999999999,-0.22593,-0.95855,-8.1699,4.0082,-0.031373,-0.32854,1.0841,0
2.9719,-9.6154,0.84062,-0.31169,-0.8630399999999999,-0.52652,-1.9132,-10.511,0.94322,-0.17451,-0.99179,-0.4116399999999999,0
-2.1591,-9.4456,-4.9522,-0.11688,-0.8349,-0.19646,-5.3562,-9.1042,0.57604,0.039216,-0.846,-0.60129,0
2.6477,-9.5933,0.078063,0.97959,-0.90994,-0.035363,-2.5808,-9.1991,-0.90787,-0.056863,-0.98357,0.7155199999999999,0
1.6767,-9.5247,0.99887,-0.7384,-0.69606,-0.3654199999999999,9.5352,-9.0416,7.8396,-0.52549,-0.78645,-0.4956899999999999,0
-1.1642,-9.6685,1.4633,-0.66976,-0.74484,-0.34578,-1.4368,-7.8881,2.1889,-0.098039,-1.0082,-0.40733,0
